"Pathway",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"ECM Remodeling","Score","Healthy","Rupture",3377,2273,1017172.5,0,0,"****"
"Inflammation","Score","Healthy","Rupture",3377,2273,3047147,1.62787323080278e-39,1.62787323080278e-39,"****"
