"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.47840332371583,0.8,0.284,0,"11","Cxcl14"
0,3.40902866188692,0.312,0.033,0,"11","Wnt2"
0,3.35617054201151,0.501,0.079,0,"11","Slco2a1"
0,3.30831142105937,0.709,0.187,0,"11","Thbd"
0,3.05354899821888,0.611,0.183,0,"11","Il1rl1"
0,2.9740785591726,0.319,0.036,0,"11","2010204K13Rik"
0,8.28075703807931,0.578,0.007,0,"12","C1qtnf9"
0,8.24629878695517,0.704,0.022,0,"12","Gpihbp1"
0,8.03196940601435,0.74,0.013,0,"12","Adgrl4"
0,7.99164494123813,0.828,0.02,0,"12","Emcn"
0,7.96514331789572,0.724,0.015,0,"12","Sox18"
0,7.86624849654567,0.455,0.005,0,"12","Cyyr1"
0,7.8585907332949,0.589,0.016,0,"12","Cldn5"
0,7.8469799519249,0.717,0.014,0,"12","Myct1"
0,7.84042845547329,0.626,0.008,0,"12","Mmrn2"
0,7.80122969834287,0.365,0.004,0,"12","Ushbp1"
0,4.93117400512448,0.346,0.012,0,"13","Sh2d5"
0,4.25005764142211,0.61,0.057,0,"13","Hmga2"
0,4.16054984199439,0.456,0.088,0,"13","Tnfrsf11b"
0,4.113037036955,0.996,0.601,0,"13","Timp1"
0,3.6580697176582,0.773,0.135,0,"13","Ltbp2"
0,3.60209060294515,1,0.651,0,"13","Prg4"
0,3.59119457403792,0.645,0.187,0,"13","Il1rl1"
0,3.4156734490783,0.775,0.209,0,"13","Ank"
2.72815550838595e-200,3.18299237639889,0.548,0.198,1.46542873132951e-195,"13","Il33"
6.0021761569152e-233,3.17440678913879,0.267,0.042,3.224068922687e-228,"13","M1ap"
0,6.25693027787442,0.369,0.004,0,"14","Depdc1a"
0,6.12125390950067,0.554,0.009,0,"14","Plk1"
0,6.01652584637054,0.456,0.005,0,"14","Pimreg"
0,5.91913480360307,0.364,0.005,0,"14","Kif2c"
0,5.89692989960914,0.722,0.015,0,"14","Hmmr"
0,5.85849228602149,0.304,0.003,0,"14","Kif14"
0,5.83817016704259,0.837,0.021,0,"14","Ccna2"
0,5.78724408856667,0.679,0.012,0,"14","Pbk"
0,5.63140794477079,0.384,0.006,0,"14","Ttk"
0,5.61209749525544,0.629,0.011,0,"14","Dlgap5"
0,9.63446452660779,0.637,0.008,0,"15","Myod1"
0,8.77698748408776,0.425,0.002,0,"15","Cdh15"
0,8.33231540532503,0.506,0.009,0,"15","Chrna1"
0,8.08530763291409,0.345,0.004,0,"15","Popdc3"
0,8.07697077004727,0.271,0.002,0,"15","Pax7"
0,8.07256404364719,0.368,0.003,0,"15","Fgfr4"
0,8.02295976596913,0.257,0.006,0,"15","Ttn"
0,7.84454479773963,0.355,0.013,0,"15","Gal"
0,7.83695218448566,0.647,0.014,0,"15","Asb5"
0,7.62376016206864,0.257,0.006,0,"15","Neb"
0,8.05947230512367,0.434,0.004,0,"16","Klrd1"
0,7.83903259454449,0.489,0.004,0,"16","P2ry10"
0,7.40539374767572,0.373,0.004,0,"16","Klrb1b"
0,7.23274885945613,0.404,0.005,0,"16","Klrk1"
0,7.03527269581213,0.428,0.007,0,"16","Gpr171"
0,6.991012780658,0.395,0.005,0,"16","Flt3"
0,6.94444170591389,0.301,0.006,0,"16","H2-DMb2"
0,6.31655021947579,0.318,0.01,0,"16","Cd209a"
0,5.835626875111,0.279,0.011,0,"16","Ramp3"
7.33237348241925e-268,5.78890111735443,0.452,0.07,3.9385844160815e-263,"16","Ifitm1"
0,9.90220439756474,0.291,0.001,0,"17","Kcnmb1"
0,9.54170444000157,0.798,0.007,0,"17","Myh11"
0,9.15663765163619,0.593,0.003,0,"17","Lmod1"
0,9.14013007741947,0.38,0.001,0,"17","Olfr558"
0,8.53609477089251,0.264,0.001,0,"17","Tusc5"
0,7.93208913494168,0.357,0.002,0,"17","Higd1b"
0,7.82847455596453,0.391,0.003,0,"17","Mrvi1"
0,7.82458996334838,0.744,0.047,0,"17","Rgs5"
0,7.29137264525049,0.38,0.006,0,"17","Map3k7cl"
0,7.09191517976482,0.574,0.016,0,"17","Sncg"
0,9.48214805042851,0.29,0.002,0,"18","A2m"
0,8.51149524924581,0.502,0.002,0,"18","Tenm2"
0,8.01417017687198,0.267,0.002,0,"18","Clic6"
0,7.53468916359993,0.434,0.004,0,"18","Shisa3"
0,7.04577059524169,0.462,0.009,0,"18","6030408B16Rik"
2.31795778884931e-150,6.51695631307062,1,0.666,1.24509102628041e-145,"18","Apod"
0,6.4889063678453,0.285,0.005,0,"18","Col26a1"
0,6.40229313429482,0.271,0.003,0,"18","Cdh19"
2.92282102426858e-270,6.18894555395261,1,0.217,1.56999331318587e-265,"18","Gpc3"
0,5.85819628464269,0.312,0.009,0,"18","Ngfr"
0,16.8648611319578,0.275,0,0,"19","Gm17019"
0,16.4769834838671,0.275,0,0,"19","Gm10354"
0,14.5175614193507,0.325,0,0,"19","AC163646.4"
0,14.3751639576841,0.325,0,0,"19","Gm9758"
0,14.1933578488292,0.675,0,0,"19","Tph1"
0,14.1838561847352,0.325,0,0,"19","Cma2"
0,14.1829442630811,0.275,0,0,"19","Speer4e"
0,13.6663749404246,1,0.002,0,"19","Tpsab1"
0,13.5398608115524,0.625,0,0,"19","Mrgprx2"
0,13.2167241939082,0.3,0.001,0,"19","Gm21190"
