"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.60565130323871,0.542,0.12,0,"1","Csf2ra"
0,2.7208347295417,0.5,0.079,0,"1","Selplg"
0,3.20395467333717,0.982,0.561,0,"1","Lgmn"
0,2.26504440324945,0.719,0.299,0,"1","Cndp2"
0,2.08873716499683,0.492,0.074,0,"1","Fcgr1"
0,3.4174573328591,0.48,0.062,0,"1","Tm6sf1"
0,3.38257988230961,0.538,0.122,0,"1","Ccrl2"
0,5.29593354735002,0.433,0.018,0,"1","Blnk"
0,2.77570650169598,0.506,0.093,0,"1","Ccr1"
0,5.50853277665839,0.44,0.027,0,"1","Cbr2"
0,1.83812450092418,0.535,0.123,0,"1","Cd93"
0,2.59314908070784,0.581,0.172,0,"1","Vsir"
0,2.07284195052788,0.65,0.243,0,"1","Cotl1"
0,4.54236997066012,0.432,0.027,0,"1","Slamf7"
0,4.55464139432194,0.43,0.027,0,"1","Lair1"
0,2.05047577597376,0.635,0.233,0,"1","Fam49b"
0,2.15319166816728,0.877,0.478,0,"1","Mafb"
0,2.73748728948991,0.477,0.078,0,"1","Rac2"
0,2.25121152043117,0.647,0.25,0,"1","Gla"
0,2.43908683453087,0.741,0.347,0,"1","Man2b1"
0,2.44508210893978,0.508,0.115,0,"1","Syk"
0,5.40417076933991,0.631,0.242,0,"1","Ccl4"
0,3.30679209464059,0.45,0.061,0,"1","Nrros"
0,2.56136735804561,0.478,0.091,0,"1","Entpd1"
0,2.46349310624294,0.804,0.418,0,"1","Dab2"
0,2.42726265832644,0.607,0.222,0,"1","Rab7b"
0,3.04112168098624,0.475,0.099,0,"1","Tmem106a"
0,3.53217601322876,0.596,0.22,0,"1","H2-Aa"
0,2.53711864926804,0.458,0.084,0,"1","Slc15a3"
0,2.5501746864409,0.516,0.143,0,"1","Nceh1"
0,2.48301650626318,0.465,0.093,0,"1","Cxcr4"
0,4.70689121767104,0.399,0.027,0,"1","Cd33"
0,2.25762218635152,0.679,0.308,0,"1","Tmem176b"
0,2.22939794532961,0.626,0.255,0,"1","Rilpl2"
0,5.80432852505572,0.385,0.016,0,"1","Folr2"
0,3.4264865096401,0.424,0.055,0,"1","Ms4a4a"
0,3.42144657229728,0.422,0.054,0,"1","Ptpn6"
0,3.6714268014093,0.415,0.048,0,"1","Rassf4"
0,3.24233579819811,0.42,0.053,0,"1","Cd86"
0,4.83698822139538,0.386,0.021,0,"1","Nxpe5"
0,3.87829708053517,0.412,0.047,0,"1","Lpcat2"
0,2.82914270656279,0.494,0.13,0,"1","Cln8"
0,3.50839848661217,0.556,0.193,0,"1","H2-Eb1"
0,1.91029094275076,0.847,0.484,0,"1","Ctsh"
0,3.29575906247245,0.42,0.058,0,"1","H2-DMb1"
0,2.29370334000534,0.861,0.5,0,"1","Atp6v1a"
0,2.37183468541137,0.627,0.268,0,"1","Maf"
0,1.87100178293332,0.821,0.462,0,"1","Card19"
0,2.2239797969854,0.851,0.493,0,"1","Snx5"
0,2.03448149567403,0.556,0.199,0,"1","Pid1"
0,2.48435459642691,0.623,0.267,0,"1","Sirpa"
0,2.81801343969613,0.488,0.133,0,"1","Sap30"
0,3.07028793881295,0.408,0.058,0,"1","Inpp5d"
0,3.23405806727185,0.408,0.059,0,"1","Lat2"
0,2.85680213293642,0.413,0.065,0,"1","Ptafr"
0,4.41113328020425,0.375,0.027,0,"1","Clec12a"
0,2.96298004635964,0.408,0.06,0,"1","Ncf4"
0,2.87348802233751,0.404,0.062,0,"1","Gm8995"
0,2.27195511536477,0.549,0.212,0,"1","Abca1"
0,2.12685878643099,0.532,0.196,0,"1","Skap2"
0,2.03622004548975,0.701,0.366,0,"1","Myo5a"
0,3.100783811768,0.393,0.059,0,"1","Trf"
0,2.01635407386081,0.555,0.222,0,"1","Prcp"
0,4.62429730621252,0.357,0.025,0,"1","Syngr1"
0,2.68615070775081,0.402,0.072,0,"1","Irf5"
0,2.5324334095303,0.558,0.229,0,"1","Pepd"
0,6.63105665660273,0.335,0.007,0,"1","Gpr34"
0,2.08731670209469,0.889,0.563,0,"1","Ctsa"
0,3.63290598182222,0.363,0.037,0,"1","Tbxas1"
0,2.51326163333931,0.503,0.177,0,"1","Tmem176a"
0,1.7110203431549,0.543,0.218,0,"1","Psmb8"
0,2.37414647089052,0.509,0.184,0,"1","Il10rb"
0,2.31349409163269,0.45,0.126,0,"1","BC028528"
0,3.40412335179866,0.369,0.045,0,"1","Nckap1l"
0,2.49012014286563,0.466,0.143,0,"1","Cebpa"
0,4.12025641995741,0.35,0.027,0,"1","Tlr7"
0,1.53974251034397,0.766,0.444,0,"1","Zeb2"
0,5.07968337007387,0.359,0.038,0,"1","Il10"
0,2.12865857157086,0.539,0.222,0,"1","Pip4k2a"
0,2.8012764634752,0.423,0.108,0,"1","Mtss1"
0,3.07166472600179,0.385,0.072,0,"1","Atp13a2"
0,5.54751884241057,0.371,0.058,0,"1","Ccl12"
0,2.47730377364889,0.703,0.39,0,"1","Marcksl1"
0,2.78099007285805,0.549,0.237,0,"1","Rgl1"
0,5.35528435666534,0.325,0.013,0,"1","P2ry12"
0,2.85361004336455,0.415,0.106,0,"1","Galc"
0,2.14849138245773,0.471,0.162,0,"1","Plekho1"
0,1.82756950700975,0.563,0.255,0,"1","Rel"
0,3.21546820738145,0.353,0.046,0,"1","Lrrc25"
0,2.82502048365087,0.392,0.089,0,"1","Pik3r5"
0,1.83526640098134,0.85,0.547,0,"1","Rnf130"
0,3.49082482221083,0.341,0.039,0,"1","Slc37a2"
0,2.88449456797817,0.345,0.043,0,"1","Itga4"
0,1.5383262180575,0.753,0.451,0,"1","Slc6a6"
0,2.0574212397067,0.575,0.273,0,"1","Mpp1"
0,3.48372014745566,0.339,0.039,0,"1","Ncf1"
0,1.716038648313,0.641,0.342,0,"1","Rab8b"
0,3.44248645885981,0.337,0.039,0,"1","Gm6377"
0,2.40923846302301,0.464,0.168,0,"1","Hacd4"
0,1.51153631394814,0.669,0.374,0,"1","Tgfb1"
0,2.44287799505708,0.423,0.128,0,"1","Tnfrsf1b"
0,2.04778765040523,0.69,0.395,0,"1","Blvrb"
0,1.63815801759289,0.623,0.329,0,"1","Ifi30"
0,2.83264103820984,0.378,0.084,0,"1","Lst1"
0,3.29550134968379,0.339,0.046,0,"1","Dok3"
0,2.97419405320238,0.342,0.05,0,"1","Arhgap30"
0,2.39229749954865,0.736,0.444,0,"1","Creg1"
0,2.03365299726923,0.574,0.282,0,"1","Sgpl1"
0,1.98554786126849,0.563,0.272,0,"1","Tpp1"
0,2.36461747720393,0.431,0.143,0,"1","Gng2"
0,2.67611514235749,0.909,0.623,0,"1","Cxcl2"
0,2.31588406382325,0.446,0.16,0,"1","Rab20"
0,1.73060470655065,0.89,0.607,0,"1","Atp2b1"
0,1.50461626223329,0.632,0.349,0,"1","Gm2a"
0,2.2314959532687,0.393,0.112,0,"1","Lmo2"
0,2.03572431439572,0.585,0.304,0,"1","Abhd12"
0,1.87298422068569,0.603,0.322,0,"1","Atp6v1b2"
0,3.22174415327076,0.323,0.043,0,"1","Hck"
0,1.85929158735448,0.432,0.152,0,"1","Pycard"
0,2.21420737872874,0.427,0.148,0,"1","Dnase1l1"
0,1.72210423960433,0.377,0.098,0,"1","Adam8"
0,3.2842723344033,0.316,0.037,0,"1","Epsti1"
0,2.9655918282962,0.325,0.047,0,"1","AB124611"
0,2.66371216809227,0.412,0.136,0,"1","Ap1b1"
0,1.62279375896674,0.631,0.356,0,"1","M6pr"
0,1.99423005738119,0.382,0.107,0,"1","Clec4e"
0,2.76285608516121,0.353,0.078,0,"1","Apobec1"
0,2.41248775067041,0.349,0.074,0,"1","Irf8"
0,2.52900360065965,0.501,0.227,0,"1","Fabp5"
0,3.45861989054298,0.306,0.032,0,"1","Hcst"
0,2.0681126164494,0.729,0.455,0,"1","Plaur"
0,2.91397713999466,0.35,0.076,0,"1","Casp1"
0,2.06903136387839,0.956,0.683,0,"1","Cyba"
0,2.28173032877833,0.457,0.187,0,"1","P2rx4"
0,3.11360798379931,0.325,0.055,0,"1","Slc43a2"
0,2.02196495674947,0.464,0.194,0,"1","Fem1c"
0,2.48873061712277,0.344,0.074,0,"1","Dock8"
0,2.64218396801123,0.358,0.089,0,"1","Frmd4b"
0,5.17028522080871,0.282,0.013,0,"1","Aoah"
0,1.75112712420825,0.521,0.253,0,"1","Gch1"
0,2.63049003944849,0.321,0.055,0,"1","Dock2"
0,2.67731637271375,0.362,0.096,0,"1","Hfe"
0,1.78761741156596,0.524,0.261,0,"1","Tmem189"
0,2.15445754563094,0.451,0.188,0,"1","Rab3il1"
0,1.69029589328542,0.586,0.323,0,"1","Rhog"
0,3.26914032179992,0.317,0.055,0,"1","Il1rn"
0,1.73473665881984,0.601,0.339,0,"1","Mfsd1"
0,1.65168184535346,0.83,0.569,0,"1","Asah1"
0,4.00151326266144,0.285,0.024,0,"1","Susd3"
0,2.15555667840478,0.423,0.164,0,"1","Tcirg1"
0,2.37880270442373,0.378,0.12,0,"1","Renbp"
0,2.42417187675713,0.366,0.108,0,"1","Etv3"
0,3.28584513044966,0.313,0.056,0,"1","Serpinb8"
0,2.16015593280952,0.381,0.124,0,"1","Ptpre"
0,3.21633060302989,0.295,0.038,0,"1","Hk3"
0,2.37081616545102,0.375,0.119,0,"1","Fnip2"
