"","Repair Fibroblasts","Repair-Activated Stromal"
"Integrin–FAK",0.201030111225826,0.270153494646179
"RhoA–ROCK",0.191582027635202,0.211142621335806
"YAP/TEAD",0.138406250159712,0.121835391539444
"TGFβ",0.146447842752838,0.135515929584722
"SMAD",0.192980380793669,0.194576928964702
"Fibroblast Activation",0.080902478882543,0.0829721264933719
"Myofibroblast",0.657509622334346,0.686237234388573
"Inflammation",0.0662962101511732,0.0824840294007469
