"author_cell_type","YAP_TEAD_UCell","Integrin_FAK_UCell","RhoA_ROCK_UCell","Myofibroblast_UCell","GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION_UCell","GOBP_FIBROBLAST_ACTIVATION_UCell","HALLMARK_INFLAMMATORY_RESPONSE_UCell","HALLMARK_TGF_BETA_SIGNALING_UCell","REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS_UCell"
"ABCA10hi fibroblasts",0.0175279351272204,0.0827511266197496,0.0801789128764409,0.0966601542646757,0.0592251302279163,0.0635852387438209,0.0237218330348052,0.0754562019342366,0.0668371659126354
"ADAM12hi fibroblasts",0.027464118267688,0.161943272313041,0.0821526128591614,0.413119646451251,0.0902297381965268,0.0652569346812043,0.0260256381111418,0.08589057140221,0.0779684285172881
"FBLN1hi fibroblasts",0.0235107225644777,0.074862372564263,0.0719388169828183,0.0957249216785936,0.0539805102122665,0.0535335354266643,0.020201382620013,0.0789009630150121,0.0760365128616952
"NR4A1hi fibroblasts",0.019543926562803,0.112004920823294,0.0893807347820445,0.153457375195218,0.0604726812592898,0.0667999139683134,0.0528532758169539,0.109080707028295,0.0799139359083671
