,Mouse_Repair_Fibroblasts,Mouse_Repair_Activated_Stromal,ADAM12hi fibroblasts,ABCA10hi fibroblasts,FBLN1hi fibroblasts,NR4A1hi fibroblasts
Integrin-FAK,0.201030111225826,0.270153494646179,0.161943272313041,0.0827511266197496,0.074862372564263,0.112004920823294
RhoA-ROCK,0.191582027635202,0.211142621335806,0.0821526128591614,0.0801789128764409,0.0719388169828183,0.0893807347820445
YAP/TEAD,0.138406250159712,0.121835391539444,0.027464118267688,0.0175279351272204,0.0235107225644777,0.019543926562803
TGFβ,0.146447842752838,0.135515929584722,0.08589057140221,0.0754562019342366,0.0789009630150121,0.109080707028295
SMAD,0.192980380793669,0.194576928964702,0.0779684285172881,0.0668371659126354,0.0760365128616952,0.0799139359083671
Fibroblast Activation,0.080902478882543,0.0829721264933719,0.0652569346812043,0.0635852387438209,0.0535335354266643,0.0667999139683134
Myofibroblast,0.657509622334346,0.686237234388573,0.413119646451251,0.0966601542646757,0.0957249216785936,0.153457375195218
Inflammation,0.0662962101511732,0.0824840294007469,0.0260256381111418,0.0237218330348052,0.020201382620013,0.0528532758169539
