"","ADAM12hi","NR4A1hi","ABCA10hi","FBLN1hi"
"Integrin–FAK",0.122260629378869,0.152026025881056,0.10361362291314,0.0673782980304719
"RhoA–ROCK",0.0842472563019713,0.0749590129162787,0.0617866598999268,0.0503830735277685
"YAP/TEAD",0.0151678967691481,0.0289448906481968,0.03680768945298,0.0343264306390559
"TGFβ",0.0806663721985267,0.0813846965103601,0.0757427785579707,0.079061497830598
"SMAD",0.0695839764596816,0.0737086316964042,0.0673779107103263,0.0457071990662299
