"cell_type_refined","n_cells","median_pseudotime","mean_pseudotime"
"Stromal progenitor-like cells",69,4.4039233756735,4.5287279809674
"Mature tenocytes",1400,4.80535801012061,5.35604102578514
"Fibrochondrocyte-like tenocytes",164,6.36963238048344,6.41214767755459
"ECM-remodelling tenocytes",4,7.68940882451351,7.73243376601928
"Repair fibroblasts",1,11.6513086724711,11.6513086724711
"Activated tenocytes",1170,12.8521376869674,12.4571433499329
"Proinflammatory mesenchymal cells",1283,17.1287361978335,17.1618669140282
"Signaling stromal cells",1,19.1627154574706,19.1627154574706
