"cell_type_refined","n_cells","median_pseudotime","mean_pseudotime"
"Mature tenocytes",1297,5.48565615957762,7.14962406592331
"Fibrochondrocyte-like tenocytes",2280,9.48659066738149,9.45388733358452
"ECM-remodelling tenocytes",2483,13.1872760908797,13.1752929421246
"Signaling stromal cells",1762,15.8671732807883,15.3217613807549
"Repair fibroblasts",22,16.40448559898,14.6055553536649
"Stromal progenitor-like cells",2770,18.7514480705784,18.5956573634881
"Proinflammatory mesenchymal cells",54,32.055918265544,31.8177471462725
