"pseudotime_bin","mean_pseudotime","program","mean_UCell","scaled_score"
1,3.87842828175791,"YAP/TEAD",0.223596702912261,1.06342359177656
1,3.87842828175791,"Integrin/FAK",0.095657383385949,-2.36918389941874
1,3.87842828175791,"RhoA/ROCK",0.137559586096917,-2.30902009615776
1,3.87842828175791,"Myofibroblast",0.187107406425039,-1.29945897070323
1,3.87842828175791,"ECM organization",0.109564044048395,-1.54159967792841
1,3.87842828175791,"Fibroblast activation",0.0644929576939866,-1.46702560207944
1,3.87842828175791,"Inflammation",0.0487565657882168,-1.4605219175075
1,3.87842828175791,"TGF-beta",0.17575720519459,1.83192274363854
1,3.87842828175791,"TGF-beta/SMAD",0.177805029907572,-1.11178781370775
2,4.69213088251305,"YAP/TEAD",0.210897729950094,0.799725982150864
2,4.69213088251305,"Integrin/FAK",0.0991268923410329,-2.11646444542267
2,4.69213088251305,"RhoA/ROCK",0.134880953126909,-2.50242839628965
2,4.69213088251305,"Myofibroblast",0.196619755667546,-1.22695489305926
2,4.69213088251305,"ECM organization",0.111589257800748,-1.40493704918032
2,4.69213088251305,"Fibroblast activation",0.0672387302838492,-1.31338207060255
2,4.69213088251305,"Inflammation",0.0551728281348311,-0.990518675149034
2,4.69213088251305,"TGF-beta",0.163592792285473,0.604363728334945
2,4.69213088251305,"TGF-beta/SMAD",0.167324837579466,-1.75658485647624
3,5.1787262724509,"YAP/TEAD",0.196543698192956,0.501660628824632
3,5.1787262724509,"Integrin/FAK",0.094363350316215,-2.46344142550376
3,5.1787262724509,"RhoA/ROCK",0.131347593528437,-2.75755146889683
3,5.1787262724509,"Myofibroblast",0.187249387608631,-1.29837677591657
3,5.1787262724509,"ECM organization",0.110621242782315,-1.47025927846748
3,5.1787262724509,"Fibroblast activation",0.0643064354652888,-1.47746271330339
3,5.1787262724509,"Inflammation",0.0481786609559179,-1.50285452959254
3,5.1787262724509,"TGF-beta",0.150071384252344,-0.760135031668934
3,5.1787262724509,"TGF-beta/SMAD",0.162913248521981,-2.02800922438097
4,5.72826940830898,"YAP/TEAD",0.262643863832704,1.8742484536033
4,5.72826940830898,"Integrin/FAK",0.103354900551162,-1.80849581349593
4,5.72826940830898,"RhoA/ROCK",0.140106338566519,-2.12513410971707
4,5.72826940830898,"Myofibroblast",0.276375345201504,-0.61904981002568
4,5.72826940830898,"ECM organization",0.119993299581562,-0.837827310497046
4,5.72826940830898,"Fibroblast activation",0.0627404756613823,-1.56508817628286
4,5.72826940830898,"Inflammation",0.0530519277281864,-1.14587860496368
4,5.72826940830898,"TGF-beta",0.15656438235862,-0.104900913815644
4,5.72826940830898,"TGF-beta/SMAD",0.166686019748782,-1.79588831916062
5,6.43705705114361,"YAP/TEAD",0.273899513076259,2.10797505567996
5,6.43705705114361,"Integrin/FAK",0.108075724898155,-1.46463039425984
5,6.43705705114361,"RhoA/ROCK",0.140609775487889,-2.08878389665087
5,6.43705705114361,"Myofibroblast",0.338977345419937,-0.141891100984339
5,6.43705705114361,"ECM organization",0.124665137686027,-0.522568896070483
5,6.43705705114361,"Fibroblast activation",0.0776895655167626,-0.728591021993429
5,6.43705705114361,"Inflammation",0.0576594713764835,-0.808367397188568
5,6.43705705114361,"TGF-beta",0.163894825605386,0.634843105149269
5,6.43705705114361,"TGF-beta/SMAD",0.174694416494607,-1.30316925663193
6,7.09205014714157,"YAP/TEAD",0.241520333706975,1.43561263497403
6,7.09205014714157,"Integrin/FAK",0.126715739901437,-0.106889435786368
6,7.09205014714157,"RhoA/ROCK",0.158302714603939,-0.811281037137195
6,7.09205014714157,"Myofibroblast",0.381928213689482,0.185484714232295
6,7.09205014714157,"ECM organization",0.126335422660512,-0.409857072389442
6,7.09205014714157,"Fibroblast activation",0.0794394852708585,-0.630671823654463
6,7.09205014714157,"Inflammation",0.0553535916464485,-0.97727740913298
6,7.09205014714157,"TGF-beta",0.163574895344796,0.602557677271234
6,7.09205014714157,"TGF-beta/SMAD",0.18381449414615,-0.742053685903053
7,7.86927760795859,"YAP/TEAD",0.234898982957669,1.29811849507098
7,7.86927760795859,"Integrin/FAK",0.13363513546366,0.397120177996482
7,7.86927760795859,"RhoA/ROCK",0.170833222372259,0.0934730797559711
7,7.86927760795859,"Myofibroblast",0.426869548936701,0.528032067900446
7,7.86927760795859,"ECM organization",0.13563527191133,0.217702287258914
7,7.86927760795859,"Fibroblast activation",0.0737602531903861,-0.948461168679674
7,7.86927760795859,"Inflammation",0.0563682478060255,-0.902951943757985
7,7.86927760795859,"TGF-beta",0.152686193126785,-0.496264326925798
7,7.86927760795859,"TGF-beta/SMAD",0.17953177335863,-1.00554939402949
8,8.24764303488665,"YAP/TEAD",0.232322686933737,1.24462101104428
8,8.24764303488665,"Integrin/FAK",0.131227664384918,0.221759692000411
8,8.24764303488665,"RhoA/ROCK",0.175390491601944,0.422526632379941
8,8.24764303488665,"Myofibroblast",0.448535721529652,0.693173803120518
8,8.24764303488665,"ECM organization",0.136432220580886,0.271480857561536
8,8.24764303488665,"Fibroblast activation",0.0677433244492149,-1.28514680093176
8,8.24764303488665,"Inflammation",0.0520599844661727,-1.21854030802326
8,8.24764303488665,"TGF-beta",0.147024534850132,-1.06760465473268
8,8.24764303488665,"TGF-beta/SMAD",0.17733112857706,-1.14094473820986
9,8.63498427596484,"YAP/TEAD",0.221535130619793,1.02061448530676
9,8.63498427596484,"Integrin/FAK",0.138459628321473,0.748536824161286
9,8.63498427596484,"RhoA/ROCK",0.185817862748723,1.17542564875287
9,8.63498427596484,"Myofibroblast",0.490161562105066,1.01045012468248
9,8.63498427596484,"ECM organization",0.140607088813494,0.553203449402619
9,8.63498427596484,"Fibroblast activation",0.0626528340896714,-1.56999228255574
9,8.63498427596484,"Inflammation",0.0509998771150127,-1.29619515836712
9,8.63498427596484,"TGF-beta",0.1436821465028,-1.4048982815659
9,8.63498427596484,"TGF-beta/SMAD",0.183170817279827,-0.781656102243266
10,9.06082721470886,"YAP/TEAD",0.207624426151089,0.731754943079609
10,9.06082721470886,"Integrin/FAK",0.139547887211439,0.827805733980772
