"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,7.99314492469071,0.736,0.014,0,"11","Adgrl4"
0,7.92105008637465,0.59,0.016,0,"11","Cldn5"
0,7.91122678671663,0.455,0.005,0,"11","Cyyr1"
0,7.87373140160926,0.715,0.014,0,"11","Myct1"
0,7.84919317840261,0.624,0.008,0,"11","Mmrn2"
0,7.80993952936169,0.379,0.005,0,"11","Grrp1"
0,4.91097824781661,0.343,0.012,0,"12","Sh2d5"
0,4.23114341254769,0.609,0.057,0,"12","Hmga2"
0,4.12907626495154,0.454,0.088,0,"12","Tnfrsf11b"
0,4.11375398154218,0.999,0.601,0,"12","Timp1"
0,3.64579597659793,0.768,0.135,0,"12","Ltbp2"
0,3.61798249133148,0.999,0.651,0,"12","Prg4"
1.54148481502469e-321,3.56460768035109,0.643,0.187,8.28008568390512e-317,"12","Il1rl1"
0,3.44177486285112,0.782,0.209,0,"12","Ank"
2.78091959194029e-199,3.18661271437388,0.548,0.198,1.49377095881073e-194,"12","Il33"
1.17674029113051e-223,3.15528585156347,0.263,0.042,6.32086047380754e-219,"12","M1ap"
0,9.62632594706196,0.635,0.009,0,"13","Myod1"
0,8.73671357712409,0.423,0.002,0,"13","Cdh15"
0,8.32994953454686,0.505,0.009,0,"13","Chrna1"
0,8.08294176213591,0.345,0.004,0,"13","Popdc3"
0,8.07460489926909,0.271,0.002,0,"13","Pax7"
0,8.07019817286901,0.367,0.003,0,"13","Fgfr4"
0,8.02059389519095,0.256,0.006,0,"13","Ttn"
0,7.84217892696145,0.354,0.013,0,"13","Gal"
0,7.80538090712711,0.644,0.014,0,"13","Asb5"
0,7.62885972184156,0.258,0.006,0,"13","Neb"
0,8.17102153694342,0.432,0.004,0,"14","Klrd1"
0,7.89378866688649,0.48,0.004,0,"14","P2ry10"
0,7.64523479921833,0.381,0.003,0,"14","Klrb1b"
0,7.42020454000466,0.409,0.004,0,"14","Klrk1"
0,7.18199403809717,0.315,0.005,0,"14","H2-DMb2"
0,7.03973828580322,0.427,0.006,0,"14","Gpr171"
0,6.98891576287648,0.384,0.005,0,"14","Flt3"
0,6.43156691422034,0.327,0.01,0,"14","Cd209a"
0,5.82852661534271,0.274,0.011,0,"14","Ramp3"
1.40208923291277e-281,5.79978787501462,0.456,0.07,7.53132231459093e-277,"14","Ifitm1"
0,9.94790771539913,0.291,0.001,0,"15","Kcnmb1"
0,9.51946000428378,0.795,0.007,0,"15","Myh11"
0,9.22813805626854,0.593,0.003,0,"15","Lmod1"
0,9.09854969786818,0.376,0.001,0,"15","Olfr558"
0,8.59082005628682,0.267,0.001,0,"15","Tusc5"
0,7.89064855500195,0.349,0.002,0,"15","Higd1b"
0,7.80761588154885,0.744,0.047,0,"15","Rgs5"
0,7.78071750415659,0.384,0.003,0,"15","Mrvi1"
0,7.26519389309681,0.376,0.006,0,"15","Map3k7cl"
0,7.08917414960766,0.57,0.016,0,"15","Sncg"
0,9.4887421565785,0.291,0.002,0,"16","A2m"
0,8.50401399060991,0.5,0.002,0,"16","Tenm2"
0,8.02076428302197,0.268,0.002,0,"16","Clic6"
0,7.54128326974992,0.436,0.004,0,"16","Shisa3"
0,7.04542256645875,0.459,0.009,0,"16","6030408B16Rik"
1.07811537810898e-149,6.51755714371746,1,0.666,5.79109675351236e-145,"16","Apod"
0,6.49550047399529,0.286,0.005,0,"16","Col26a1"
0,6.37684557086127,0.268,0.003,0,"16","Cdh19"
4.60537033394045e-269,6.19261832541472,1,0.217,2.47377467487611e-264,"16","Gpc3"
0,5.86479039079268,0.314,0.009,0,"16","Ngfr"
0,5.90484353196205,0.688,0.01,0,"17","Cxcr2"
1.27717630983945e-124,5.77202981480145,0.406,0.017,6.86035254830258e-120,"17","Stfa2l1"
0,5.16431239363167,0.531,0.01,0,"17","AC110211.1"
1.92445713807171e-101,5.1456206714443,0.391,0.019,1.03372215171522e-96,"17","Gm5483"
1.77580581131718e-111,5.11341787336851,1,0.136,9.53874091549021e-107,"17","S100a9"
2.05439505333662e-140,5.0327691550278,0.625,0.036,1.10351830289976e-135,"17","Retnlg"
7.50129775104064e-84,4.92267239542719,0.984,0.192,4.02932208697148e-79,"17","S100a8"
8.98110594521044e-247,4.90467696815073,0.906,0.044,4.82420105846979e-242,"17","Acod1"
7.12769783533429e-151,4.88762481191378,0.516,0.023,3.82864289224981e-146,"17","Asprv1"
5.31859230397901e-168,4.718583473731,0.375,0.01,2.85688185608233e-163,"17","Rdh12"
0,16.829186287699,0.268,0,0,"18","Gm17019"
0,16.4413086396082,0.268,0,0,"18","Gm10354"
0,14.4818865750918,0.317,0,0,"18","AC163646.4"
0,14.3394891134253,0.317,0,0,"18","Gm9758"
0,14.3389364294952,0.683,0,0,"18","Tph1"
0,14.1481813404764,0.317,0,0,"18","Cma2"
0,14.1472694188223,0.268,0,0,"18","Speer4e"
0,13.7797674751862,1,0.002,0,"18","Tpsab1"
0,13.5041859672936,0.61,0,0,"18","Mrgprx2"
0,13.1810493496493,0.293,0.001,0,"18","Gm21190"
